estado,anio,mes_num,surtidas,total
AGUASCALIENTES,2018,1,44166.0,44485
AGUASCALIENTES,2018,2,40386.0,40791
AGUASCALIENTES,2018,3,40932.0,41270
AGUASCALIENTES,2018,4,42160.0,42495
AGUASCALIENTES,2018,5,44995.0,45418
AGUASCALIENTES,2018,6,39806.0,40227
AGUASCALIENTES,2018,7,39313.0,39731
AGUASCALIENTES,2018,8,43091.0,43594
AGUASCALIENTES,2018,9,40563.0,40874
AGUASCALIENTES,2018,10,45399.0,45650
AGUASCALIENTES,2018,11,42799.0,43270
AGUASCALIENTES,2018,12,35550.0,36008
AGUASCALIENTES,2019,1,42632.0,43168
AGUASCALIENTES,2019,2,40335.0,40869
AGUASCALIENTES,2019,3,25331.0,25820
AGUASCALIENTES,2019,4,37593.0,38311
AGUASCALIENTES,2019,5,41275.0,42090
AGUASCALIENTES,2019,6,39129.0,39862
AGUASCALIENTES,2019,7,39798.0,40306
AGUASCALIENTES,2019,8,42107.0,42469
AGUASCALIENTES,2019,9,41485.0,41862
AGUASCALIENTES,2019,10,46050.0,46703
AGUASCALIENTES,2019,11,38246.0,38990
AGUASCALIENTES,2019,12,36555.0,36976
AGUASCALIENTES,2020,1,38431.0,39342
AGUASCALIENTES,2020,2,39423.0,40673
AGUASCALIENTES,2020,3,38191.0,39763
AGUASCALIENTES,2020,4,25499.0,27462
AGUASCALIENTES,2020,5,21121.0,23927
AGUASCALIENTES,2020,6,25139.0,28246
AGUASCALIENTES,2020,7,27060.0,30377
AGUASCALIENTES,2020,8,26811.0,28534
AGUASCALIENTES,2020,9,27437.0,28953
AGUASCALIENTES,2020,10,31407.0,32667
AGUASCALIENTES,2020,11,23664.0,24534
AGUASCALIENTES,2020,12,26829.0,27652
AGUASCALIENTES,2021,1,26992.0,27992
AGUASCALIENTES,2021,2,26036.0,26923
AGUASCALIENTES,2021,3,27456.0,28320
AGUASCALIENTES,2021,4,8547.0,9266
AGUASCALIENTES,2021,5,34118.0,35318
AGUASCALIENTES,2021,6,32966.0,33820
AGUASCALIENTES,2021,7,34485.0,35248
AGUASCALIENTES,2021,8,34071.0,34888
AGUASCALIENTES,2021,9,37162.0,37834
AGUASCALIENTES,2021,10,36668.0,37366
AGUASCALIENTES,2021,11,19771.0,20303
AGUASCALIENTES,2021,12,31768.0,32525
AGUASCALIENTES,2022,1,36913.0,37466
AGUASCALIENTES,2022,2,36367.0,36904
AGUASCALIENTES,2022,3,42795.0,43566
AGUASCALIENTES,2022,4,35799.0,36648
AGUASCALIENTES,2022,5,42390.0,43021
AGUASCALIENTES,2022,6,25821.0,26295
AGUASCALIENTES,2022,7,37425.0,38284
AGUASCALIENTES,2022,8,41787.0,42567
AGUASCALIENTES,2022,9,39021.0,39749
AGUASCALIENTES,2022,10,40776.0,41969
AGUASCALIENTES,2022,11,42386.0,43382
AGUASCALIENTES,2022,12,35659.0,36451
AGUASCALIENTES,2023,1,44055.0,44464
AGUASCALIENTES,2023,2,40578.0,41355
AGUASCALIENTES,2023,3,44995.0,47175
AGUASCALIENTES,2023,4,36804.0,37569
AGUASCALIENTES,2023,5,45326.0,46018
AGUASCALIENTES,2023,6,33266.0,33870
AGUASCALIENTES,2023,7,43022.0,43347
AGUASCALIENTES,2023,8,45279.0,45652
AGUASCALIENTES,2023,9,43876.0,44130
AGUASCALIENTES,2023,10,47631.0,48097
AGUASCALIENTES,2023,11,45653.0,46187
AGUASCALIENTES,2023,12,36491.0,37349
AGUASCALIENTES,2024,1,47565.0,48053
AGUASCALIENTES,2024,2,45236.0,45946
AGUASCALIENTES,2024,3,40104.0,41231
AGUASCALIENTES,2024,4,44579.0,45417
AGUASCALIENTES,2024,5,42664.0,43651
AGUASCALIENTES,2024,6,36820.0,37842
AGUASCALIENTES,2024,7,40228.0,41459
AGUASCALIENTES,2024,8,41400.0,43409
AGUASCALIENTES,2024,9,39120.0,40527
AGUASCALIENTES,2024,10,42853.0,44524
AGUASCALIENTES,2024,11,36080.0,37701
AGUASCALIENTES,2024,12,32736.0,34564
BAJA CALIFORNIA,2018,1,59642.0,60692
BAJA CALIFORNIA,2018,2,52595.0,54301
BAJA CALIFORNIA,2018,3,54216.0,55344
BAJA CALIFORNIA,2018,4,56082.0,57653
BAJA CALIFORNIA,2018,5,61284.0,62561
BAJA CALIFORNIA,2018,6,53709.0,54782
BAJA CALIFORNIA,2018,7,54371.0,55325
BAJA CALIFORNIA,2018,8,57481.0,58707
BAJA CALIFORNIA,2018,9,52872.0,53620
BAJA CALIFORNIA,2018,10,59277.0,60263
BAJA CALIFORNIA,2018,11,53725.0,54583
BAJA CALIFORNIA,2018,12,52550.0,53392
BAJA CALIFORNIA,2019,1,58144.0,59193
BAJA CALIFORNIA,2019,2,50380.0,51440
BAJA CALIFORNIA,2019,3,33148.0,34003
