estado,anio,mes_num,surtidas,total
AGUASCALIENTES,2018,1,75297,75624
AGUASCALIENTES,2018,2,68680,69094
AGUASCALIENTES,2018,3,69804,70149
AGUASCALIENTES,2018,4,71307,71656
AGUASCALIENTES,2018,5,76571,76999
AGUASCALIENTES,2018,6,67314,67745
AGUASCALIENTES,2018,7,66966,67387
AGUASCALIENTES,2018,8,74375,74887
AGUASCALIENTES,2018,9,69393,69709
AGUASCALIENTES,2018,10,78100,78355
AGUASCALIENTES,2018,11,78252,78895
AGUASCALIENTES,2018,12,61610,62071
AGUASCALIENTES,2019,1,78484,79234
AGUASCALIENTES,2019,2,73309,74104
AGUASCALIENTES,2019,3,45924,46636
AGUASCALIENTES,2019,4,67001,67968
AGUASCALIENTES,2019,5,72942,74004
AGUASCALIENTES,2019,6,69595,70493
AGUASCALIENTES,2019,7,71246,71920
AGUASCALIENTES,2019,8,74620,76424
AGUASCALIENTES,2019,9,75210,75685
AGUASCALIENTES,2019,10,83362,84159
AGUASCALIENTES,2019,11,69504,70484
AGUASCALIENTES,2019,12,65542,66036
AGUASCALIENTES,2020,1,69634,70685
AGUASCALIENTES,2020,2,70829,72301
AGUASCALIENTES,2020,3,68499,70249
AGUASCALIENTES,2020,4,47040,49104
AGUASCALIENTES,2020,5,38950,41994
AGUASCALIENTES,2020,6,44950,48287
AGUASCALIENTES,2020,7,49232,52916
AGUASCALIENTES,2020,8,49122,51091
AGUASCALIENTES,2020,9,50027,51838
AGUASCALIENTES,2020,10,55662,57096
AGUASCALIENTES,2020,11,42568,43686
AGUASCALIENTES,2020,12,46949,47919
AGUASCALIENTES,2021,1,47830,49087
AGUASCALIENTES,2021,2,45888,46964
AGUASCALIENTES,2021,3,47622,48650
AGUASCALIENTES,2021,4,14875,15732
AGUASCALIENTES,2021,5,58070,59369
AGUASCALIENTES,2021,6,57007,57967
AGUASCALIENTES,2021,7,60155,60993
AGUASCALIENTES,2021,8,59572,60470
AGUASCALIENTES,2021,9,64545,65340
AGUASCALIENTES,2021,10,64267,65100
AGUASCALIENTES,2021,11,34873,35451
AGUASCALIENTES,2021,12,55310,56123
AGUASCALIENTES,2022,1,66214,66880
AGUASCALIENTES,2022,2,64225,64792
AGUASCALIENTES,2022,3,75286,76169
AGUASCALIENTES,2022,4,62784,63719
AGUASCALIENTES,2022,5,74570,75275
