estado,anio,surtidas,total,institucion,tipo
AGUASCALIENTES,2019,4334260,4338906,IMSS,civil
AGUASCALIENTES,2020,3676230,3803608,IMSS,civil
AGUASCALIENTES,2021,3874201,4163315,IMSS,civil
AGUASCALIENTES,2022,4382755,4557129,IMSS,civil
AGUASCALIENTES,2023,4971284,5053481,IMSS,civil
BAJA CALIFORNIA,2019,7801411,7939701,IMSS,civil
BAJA CALIFORNIA,2020,6518553,7067090,IMSS,civil
BAJA CALIFORNIA,2021,6765835,7390456,IMSS,civil
BAJA CALIFORNIA,2022,7689567,8167976,IMSS,civil
BAJA CALIFORNIA,2023,8643353,8917299,IMSS,civil
BAJA CALIFORNIA SUR,2019,1782398,1791899,IMSS,civil
BAJA CALIFORNIA SUR,2020,1484226,1522578,IMSS,civil
BAJA CALIFORNIA SUR,2021,1594532,1659476,IMSS,civil
BAJA CALIFORNIA SUR,2022,1878125,1913822,IMSS,civil
BAJA CALIFORNIA SUR,2023,2099912,2125595,IMSS,civil
CAMPECHE,2019,1356076,1396929,IMSS,civil
CAMPECHE,2020,973733,1057412,IMSS,civil
CAMPECHE,2021,1094904,1328741,IMSS,civil
CAMPECHE,2022,1344165,1455131,IMSS,civil
CAMPECHE,2023,1537598,1556717,IMSS,civil
CDMX,2019,27531080,27672230,IMSS,civil
CDMX,2020,23910329,24712907,IMSS,civil
CDMX,2021,24519236,25305527,IMSS,civil
CDMX,2022,28247246,28711134,IMSS,civil
CDMX,2023,32015665,32317237,IMSS,civil
CHIAPAS,2019,3012070,3070453,IMSS,civil
CHIAPAS,2020,2290818,2516990,IMSS,civil
CHIAPAS,2021,2570654,2926827,IMSS,civil
CHIAPAS,2022,3076434,3284747,IMSS,civil
CHIAPAS,2023,3561730,3683299,IMSS,civil
CHIHUAHUA,2019,9801809,10270460,IMSS,civil
CHIHUAHUA,2020,8352901,9866431,IMSS,civil
CHIHUAHUA,2021,8434272,10543603,IMSS,civil
CHIHUAHUA,2022,9533428,10544830,IMSS,civil
CHIHUAHUA,2023,10043535,10714270,IMSS,civil
COAHUILA,2019,8876910,9205623,IMSS,civil
COAHUILA,2020,6939031,7945782,IMSS,civil
COAHUILA,2021,7623921,8785765,IMSS,civil
COAHUILA,2022,8721913,9283563,IMSS,civil
COAHUILA,2023,9515147,10084391,IMSS,civil
COLIMA,2019,1703677,1756279,IMSS,civil
COLIMA,2020,1481901,1590527,IMSS,civil
COLIMA,2021,1535550,1642616,IMSS,civil
COLIMA,2022,1758105,1817875,IMSS,civil
COLIMA,2023,1969769,1997997,IMSS,civil
DURANGO,2019,4358134,4535460,IMSS,civil
DURANGO,2020,3750184,4193370,IMSS,civil
DURANGO,2021,3568536,4192652,IMSS,civil
DURANGO,2022,4287335,4683515,IMSS,civil
DURANGO,2023,4876953,4937852,IMSS,civil
GUANAJUATO,2019,9326750,9603807,IMSS,civil
GUANAJUATO,2020,8697220,9446239,IMSS,civil
GUANAJUATO,2021,9022163,9673163,IMSS,civil
GUANAJUATO,2022,10085172,10501459,IMSS,civil
GUANAJUATO,2023,11270390,11397999,IMSS,civil
GUERRERO,2019,3442519,3492367,IMSS,civil
GUERRERO,2020,2966103,3157967,IMSS,civil
GUERRERO,2021,3022980,3327103,IMSS,civil
GUERRERO,2022,3480073,3638708,IMSS,civil
GUERRERO,2023,3645866,3672850,IMSS,civil
HIDALGO,2019,2967282,3051135,IMSS,civil
HIDALGO,2020,2461434,2679497,IMSS,civil
HIDALGO,2021,2547845,2931704,IMSS,civil
HIDALGO,2022,3068815,3287539,IMSS,civil
HIDALGO,2023,3598504,3658496,IMSS,civil
JALISCO,2019,18578271,18877116,IMSS,civil
JALISCO,2020,15944242,17529666,IMSS,civil
JALISCO,2021,15827424,17863366,IMSS,civil
JALISCO,2022,18174722,19223803,IMSS,civil
JALISCO,2023,20080544,20118262,IMSS,civil
